,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,fuel_usage,temperature_difference
0,28.0,5.0,26,21.5,12,E10,0,0,0,1.4,9.5
1,12.0,4.2,30,21.5,13,E10,0,0,0,0.504,8.5
2,11.2,5.5,38,21.5,15,E10,0,0,0,0.616,6.5
3,12.9,3.9,36,21.5,14,E10,0,0,0,0.5031,7.5
4,18.5,4.5,46,21.5,15,E10,0,0,0,0.8325,6.5
5,8.3,6.4,50,21.5,10,E10,0,0,0,0.5312,11.5
6,7.8,4.4,43,21.5,11,E10,0,0,0,0.3432,10.5
7,12.3,5.0,40,21.5,6,E10,0,0,0,0.615,15.5
8,4.9,6.4,26,21.5,4,E10,0,0,0,0.31360000000000005,17.5
9,11.9,5.3,30,21.5,9,E10,0,0,0,0.6307,12.5
10,12.4,5.6,42,21.5,4,E10,0,0,0,0.6944,17.5
11,11.8,4.6,38,21.5,0,E10,0,0,0,0.5428000000000001,21.5
12,12.3,5.9,59,21.5,10,E10,0,0,0,0.7257000000000001,11.5
13,24.7,5.1,58,21.5,12,E10,0,0,0,1.2596999999999998,9.5
14,12.4,4.7,46,21.5,11,E10,0,0,0,0.5828,10.5
15,17.3,5.1,24,21.5,5,E10,0,0,0,0.8823000000000001,16.5
16,33.4,5.6,36,21.5,3,E10,0,0,0,1.8703999999999998,18.5
17,11.8,5.1,32,21.5,3,E10,0,0,0,0.6018,18.5
18,25.9,4.9,39,21.5,8,E10,0,0,0,1.2691,13.5
19,11.8,4.7,40,21.5,4,E10,0,0,0,0.5546000000000001,17.5
20,25.3,5.5,32,21.5,3,E10,0,0,0,1.3915,18.5
21,14.2,5.9,38,21.5,1,E10,0,0,0,0.8378,20.5
22,17.9,5.7,37,21.5,1,E10,0,0,0,1.0203,20.5
23,11.8,4.7,36,21.5,1,E10,0,0,0,0.5546000000000001,20.5
24,12.3,5.9,62,21.5,6,E10,0,0,0,0.7257000000000001,15.5
25,12.4,4.1,57,21.5,9,E10,0,0,0,0.5084,12.5
26,18.4,5.7,21,22.5,2,E10,0,0,0,1.0488,20.5
27,18.4,5.8,28,21.5,3,E10,0,0,0,1.0672,18.5
28,18.3,5.5,29,21.5,1,E10,0,0,0,1.0065,20.5
29,18.4,5.7,35,21.5,4,E10,0,0,0,1.0488,17.5
30,12.3,5.3,51,21.5,11,E10,0,0,0,0.6518999999999999,10.5
31,11.8,5.0,29,21.5,10,E10,0,0,0,0.59,11.5
32,12.3,5.6,58,21.5,8,E10,0,0,0,0.6888,13.5
33,32.6,4.8,40,21.5,7,E10,0,0,0,1.5648,14.5
34,19.0,4.3,36,21.5,7,E10,0,0,0,0.8170000000000001,14.5
35,12.1,5.7,36,21.5,8,E10,0,0,0,0.6897,13.5
36,20.0,5.2,37,21.5,4,E10,0,0,0,1.04,17.5
37,4.9,7.4,26,21.5,6,E10,0,0,0,0.36260000000000003,15.5
38,11.8,4.8,23,21.5,9,E10,0,0,0,0.5664,12.5
39,12.3,6.5,58,21.5,7,E10,0,0,0,0.7995,14.5
40,12.4,4.0,55,21.5,7,E10,1,1,0,0.496,14.5
41,4.5,5.0,29,21.5,7,E10,1,0,0,0.225,14.5
42,11.7,4.6,37,21.5,6,E10,0,0,0,0.5381999999999999,15.5
43,10.2,4.3,44,21.5,7,E10,0,0,0,0.43859999999999993,14.5
44,5.4,3.3,32,21.5,7,SP98,0,0,0,0.1782,14.5
45,2.0,9.9,21,21.5,4,SP98,0,0,0,0.198,17.5
46,14.2,5.1,32,21.5,7,SP98,0,0,0,0.7241999999999998,14.5
47,16.0,4.9,25,21.5,8,SP98,0,0,0,0.784,13.5
48,11.8,4.9,25,21.5,11,SP98,0,0,0,0.5782,10.5
49,27.3,4.7,36,21.5,10,SP98,0,0,0,1.2831000000000001,11.5
50,11.8,5.1,29,21.5,5,SP98,0,1,0,0.6018,16.5
51,10.6,4.9,63,21.5,6,SP98,0,0,0,0.5194000000000001,15.5
52,11.6,4.2,61,21.5,7,SP98,0,0,0,0.48719999999999997,14.5
53,13.1,6.1,46,21.5,6,SP98,0,1,0,0.7990999999999999,15.5
54,6.1,6.4,28,21.5,8,SP98,0,0,0,0.39039999999999997,13.5
55,153.5,4.9,82,21.5,3,SP98,0,1,0,7.5215000000000005,18.5
56,11.8,4.9,24,21.5,7,SP98,0,0,0,0.5782,14.5
57,12.3,6.2,61,21.5,8,SP98,0,0,0,0.7626000000000001,13.5
